country,iso,survey_start_year,survey_end_year,age_group,population,region,sub_region,intermediate_region,contraceptive_any_method,contraceptive_any_modern_method,contraceptive_any_traditional_method,contraceptive_emergency_contraception,contraceptive_female_condom,contraceptive_female_sterilization,contraceptive_implant,contraceptive_injectable,contraceptive_iud,contraceptive_lactational_amenorrhea_method_lam,contraceptive_male_condom,contraceptive_male_sterilization,contraceptive_other_modern_methods,contraceptive_other_traditional_methods,contraceptive_pill,contraceptive_rhythm,contraceptive_vaginal_barrier_methods,contraceptive_withdrawal,unmet_need_limiting,unmet_need_spacing,unmet_need_total,demand_satisfied,data_source_datacatalog_id,data_source_datacatalog_longname,data_source_source,notes,notes_contraceptive_use_methods,notes_contraceptive_use_population,notes_contraceptive_use_residuals_modern_methods,notes_contraceptive_use_residuals_traditional_methods,notes_note_on_country,notes_unmet_need_indicator,notes_unmet_need_population_excluded,notes_unmet_need_population_included
Albania,8,2e3,2e3,15-49,MW,Europe,Southern Europe,NA,57.5,17.9,39.6,NA,NA,0.9,NA,0.7,NA,2.6,7.9,0.2,NA,0.2,5.6,7.5,NA,31.8,NA,NA,NA,NA,1943,Albania 2000 Multiple Indicator Cluster Survey,MICS,,NA,NA,NA,NA,NA,NA,NA,NA
Albania,8,2002,2002,15-44,MW,Europe,Southern Europe,NA,75.1,8,67.1,NA,NA,4,NA,0.4,0.5,NA,2.1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1681,Albania 2002 Reproductive Health Survey,RHS,,NA,NA,NA,Including withdrawal.,NA,NA,NA,NA
Albania,8,2005,2005,15-49,MW,Europe,Southern Europe,NA,60.1,25,35.1,NA,NA,1.2,NA,0.8,NA,2.6,10.9,0.1,NA,0.2,9.5,6.9,0,28.1,NA,NA,NA,NA,1906,Albania 2005 Multiple Indicator Cluster Survey,MICS,,Figures by method do not add up to the total.,NA,NA,NA,NA,NA,NA,NA
Albania,8,2008,2009,15-49,MW,Europe,Southern Europe,NA,69.3,10.6,58.7,NA,NA,3,NA,0.7,0.9,0.4,4,NA,0.1,NA,1.6,0.8,NA,57.9,9.4,3.5,12.9,12.9,4483,Albania 2008-2009 Demographic and Health Survey,DHS,,NA,NA,"Including male sterilization, implants and vaginal barrier methods.",NA,NA,NA,NA,NA
Algeria,12,1986,1987,15-49,MW,Africa,Northern Africa,NA,35.8,31.3,4.5,NA,NA,NA,NA,NA,2.1,NA,0.5,NA,2.1,NA,26.6,1.4,NA,3.1,NA,NA,NA,NA,693,Algeria 1986-1987 Enquête nationale sur la fécondité,National survey,,NA,NA,"Including male and female sterilization, injectables and vaginal barrier methods.",NA,NA,NA,NA,NA
Algeria,12,1992,1992,15-49,MW,Africa,Northern Africa,NA,50.9,43.2,7.7,NA,NA,1.1,NA,0.1,2.4,NA,0.5,0,NA,4.2,38.9,1.7,0.2,1.8,NA,NA,NA,NA,32,Algeria 1992 Enquête sur la santé de la mère et de l'enfant,PAPCHILD,,NA,NA,NA,Including breastfeeding.,NA,NA,NA,NA
Algeria,12,1995,1995,15-49,MW,Africa,Northern Africa,NA,56.9,49.4,7.5,NA,NA,NA,NA,0.1,4,NA,0.8,NA,0.3,4.5,44.2,2.4,NA,0.6,NA,NA,NA,NA,713,"Algeria 1995 Enquête nationale sur les objectifs de la Mi-décennie ""MDC Algérie 1995""",MICS,,NA,NA,NA,Including breastfeeding.,NA,NA,NA,NA
Algeria,12,2e3,2e3,15-49,MW,Africa,Northern Africa,NA,64,55,9,NA,NA,NA,NA,NA,4.3,4.9,1.5,NA,NA,0.6,44.3,4.9,NA,3.5,NA,NA,NA,NA,1933,Algeria 2000 Multiple Indicator Cluster Survey,MICS,,Adjusted.,NA,NA,NA,NA,NA,NA,NA
Algeria,12,2002,2002,15-49,MW,Africa,Northern Africa,NA,57,51.8,5.1,NA,NA,NA,NA,NA,3.1,NA,NA,NA,1.8,1.2,46.8,2.2,NA,1.7,NA,NA,NA,NA,149,Algeria 2002 Enquête sur la santé de la famille,PAPFAM,,Adjusted. Figures by method do not add up to the total.,NA,"Including male sterilization, injectables, implants, male and female condoms, and vaginal barrier methods.",Including breastfeeding.,NA,NA,NA,NA
Algeria,12,2006,2006,15-49,MW,Africa,Northern Africa,NA,61.4,53.9,7.5,NA,NA,1.1,NA,NA,2.3,1.9,2.3,NA,0.3,0.1,45.9,4.1,NA,3.3,NA,NA,NA,NA,1913,Algeria 2006 Multiple Indicator Cluster Survey,MICS,,NA,NA,"Including male sterilization, female condoms, injectables, implants, and vaginal barrier methods.",NA,NA,NA,NA,NA
Algeria,12,2012,2013,15-49,MW,Africa,Northern Africa,NA,57.1,49.5,7.6,NA,0,0.5,0.2,0.1,2.2,1.6,1.9,0,NA,0.1,43,3.9,0,3.7,2.2,4.8,7,77.2,4984,Algeria 2012-2013 Multiple Indicator Cluster Survey,MICS,,NA,NA,NA,NA,NA,"Infecundity measured, in part, with question on current use of contraception instead of ever use of contraception.",NA,NA
Angola,24,1996,1996,15-49,AL,Africa,Sub-Saharan Africa,Middle Africa,8.1,4.1,4,NA,NA,NA,NA,1.2,0.7,NA,0.3,NA,NA,2.6,1.9,1.2,0,0.2,NA,NA,NA,NA,1908,Angola 1996 Multiple Indicator Cluster Survey,MICS,,NA,Data pertain to non-pregnant women.,NA,"Including abstinence, breastfeeding and folk methods.",NA,NA,NA,NA
Angola,24,2001,2001,15-49,MW,Africa,Sub-Saharan Africa,Middle Africa,6.2,4.8,1.4,NA,0.1,0.1,0,1.4,0.4,0.3,0.3,0,NA,0.1,2.2,1.2,0.1,0.1,NA,NA,NA,NA,1937,Angola 2001 Multiple Indicator Cluster Survey,MICS,,NA,NA,NA,NA,NA,NA,NA,NA
Angola,24,2008,2009,12-49,MW,Africa,Sub-Saharan Africa,Middle Africa,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4873,Angola 2008-2009 Inquerito Integrado Sobre o Bem-estar da Populacio (IBEP),National survey,,NA,NA,NA,Including lactational amenorrhea (LAM).,NA,NA,NA,NA
Angola,24,2015,2016,15-49,MW,Africa,Sub-Saharan Africa,Middle Africa,13.7,12.5,1.1,0,0,0.1,0.7,4.7,0.2,0.1,3.1,NA,0.2,0.1,3.5,0.4,NA,0.6,11.9,26.1,38,24.2,5805,Angola 2015-2016 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Anguilla,660,2003,2003,15-45,AL,Americas,Latin America and the Caribbean,Caribbean,43,40.8,2.6,NA,NA,2.6,NA,1.7,2.6,NA,15,NA,0.9,NA,17.6,0.9,0.4,1.7,NA,NA,NA,NA,3293,Anguilla 2003 Reproductive Health Survey,National survey,,Data pertain to methods used during  the last two months. Figures by method do not add up to the total.,"Data pertain to all women of reproductive age, irrespective of marital status.",Including contraceptive patch.,NA,NA,NA,NA,NA
Antigua and Barbuda,28,1981,1981,15-44,MW,Americas,Latin America and the Caribbean,Caribbean,48.2,44.6,2.4,NA,NA,10.5,NA,5.4,5,NA,2,NA,NA,NA,20,1.3,1.7,1.1,NA,NA,NA,NA,2707,Antigua and Barbuda 1981 Contraceptive Prevalence Survey,CPS,,Figures by method do not add up to the total.,Data pertain to women exposed to the risk of pregnancy.,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,28,1988,1988,15-44,MW,Americas,Latin America and the Caribbean,Caribbean,52.6,50.6,2,NA,NA,11.4,NA,3.2,1.1,NA,5.5,NA,NA,0.4,26.2,0.5,3.2,1.1,NA,NA,NA,NA,5083,Antigua and Barbuda 1988 Contraceptive Prevalence Survey in Antigua,CPS,,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,32,2001,2001,15-49,SA,Americas,Latin America and the Caribbean,South America,65.3,63.8,13.3,NA,NA,NA,NA,NA,9.5,NA,22.3,NA,NA,4.2,30.4,9.1,1.6,NA,NA,NA,NA,NA,2906,Argentina 2001 Encuesta de Condiciones de Vida,National survey,,Figures by method do not add up to the total because some methods are used in combination.,Data pertain to sexually active women of reproductive age.,NA,NA,NA,NA,NA,NA
Argentina,32,2004,2005,15-49,SA,Americas,Latin America and the Caribbean,South America,78.9,69.9,9,NA,NA,5.8,NA,2.4,8.4,NA,32.9,NA,NA,0.9,20.4,4.8,NA,3.4,NA,NA,NA,NA,5404,Argentina 2004-2005 National Nutrition and Health Survey,National survey,,Figures by method do not add up to the total.,"Data pertain to sexually active, non-pregnant women.",NA,NA,NA,NA,NA,NA
Argentina,32,2011,2012,15-49,AL,Americas,Latin America and the Caribbean,South America,55.4,53.5,1.9,NA,0.1,3.2,0,2.4,6.4,0.1,15.7,0,NA,1.1,25.5,0.6,0,0.3,NA,NA,NA,NA,4985,Argentina 2011-2012 Multiple Indicator Cluster Survey,MICS,,NA,"Data pertain to all women of reproductive age, irrespective of marital status.",NA,NA,NA,NA,NA,NA
Argentina,32,2013,2013,14-49,SA,Americas,Latin America and the Caribbean,South America,81.3,78.2,3.1,0,NA,5.6,0,NA,7.5,NA,24.1,0,41.1,0.5,NA,1.7,0,1.6,NA,NA,NA,NA,6003,Argentina 2013 Encuesta Nacional sobre Salud Sexual y Reproductiva,National survey,,Figures by method do not add up to the total.,"Data pertain to sexually active women of reproductive age, irrespective of marital status.",NA,NA,"Data pertain to urban centers with 2,000 or more people.",NA,NA,NA
Armenia,51,1991,1991,15-44,MW,Asia,Western Asia,NA,56,25.2,30.8,NA,NA,NA,NA,NA,7.8,NA,15.7,NA,NA,12.9,1.7,NA,NA,17.9,NA,NA,NA,NA,5084,Armenia 1991 Study on Contraceptive Prevalence and Use in Yerevan,National survey,,NA,NA,NA,NA,Data pertain to Yerevan.,NA,NA,NA
Armenia,51,2e3,2e3,15-49,MW,Asia,Western Asia,NA,60.5,22.3,38.2,NA,NA,2.7,NA,0.1,9.4,1.9,6.9,NA,NA,1.5,1.1,4.8,0.2,31.9,14.6,3.5,18.1,28.4,1848,Armenia 2000 Demographic and Health Survey,DHS,,NA,NA,NA,Including folk methods.,NA,NA,NA,NA
Armenia,51,2005,2005,15-49,MW,Asia,Western Asia,NA,53.1,19.5,33.6,NA,NA,0.6,NA,NA,9.4,0.4,8.1,NA,NA,2.1,0.8,3.8,0.2,27.7,15.5,3.9,19.3,26.9,1843,Armenia 2005 Demographic and Health Survey,DHS,,NA,NA,NA,Including folk methods.,NA,NA,NA,NA
Armenia,51,2010,2010,15-49,MW,Asia,Western Asia,NA,54.9,26.8,28.1,NA,NA,0.2,NA,NA,9.6,0.8,14.6,NA,0.4,0.8,1.5,2.8,0.1,24.5,8.2,5.3,13.5,39.2,5046,Armenia 2010 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,51,2015,2016,15-49,MW,Asia,Western Asia,NA,57.1,28,29.2,NA,NA,0.7,NA,0.2,8.9,0.7,14.7,NA,0.1,0.3,2.6,3.8,NA,25,6.4,6.1,12.5,40.2,5806,Armenia 2015 Demographic and Health Survey,DHS,,Figures by method do not add up to the total.,NA,Including female sterilization and foam/jelly.,Including folk methods.,NA,NA,NA,NA
Australia,36,1986,1986,20-49,MW,Oceania,Australia and New Zealand,NA,76.1,72.2,3.9,NA,NA,27.7,NA,NA,4.9,NA,4.4,10.4,0,0.3,24,2,0.8,1.6,NA,NA,NA,NA,2757,Australia 1986 Family Project,National survey,,NA,NA,NA,NA,NA,NA,NA,NA
Australia,36,1995,1995,18-49,AL,Oceania,Australia and New Zealand,NA,66.7,63.9,2.7,NA,NA,12.8,NA,NA,2,NA,11.7,9.7,NA,1.7,26.7,2,NA,NA,NA,NA,NA,NA,2847,Australia 1995 National Health Survey,National survey,,NA,"Data pertain to all women of reproductive age, irrespective of marital status.",NA,NA,NA,NA,NA,NA
Australia,36,2001,2002,16-59,SA,Oceania,Australia and New Zealand,NA,70.8,70.8,6.3,NA,0.1,15.9,0.8,1.1,0.8,NA,15.2,13.7,NA,0,23.8,3.1,0.8,3.2,NA,NA,NA,NA,2917,Australia 2001-2002 Study of Health and Relationships,National survey,,Figures by method do not add up to the total because some methods are used in combination.,Data pertain to women exposed to the risk of pregnancy.,NA,Including douching.,NA,NA,NA,NA
Australia,36,2005,2006,18-45,MW,Oceania,Australia and New Zealand,NA,65.2,63.1,2.1,0,NA,7,2.1,1.1,1.8,NA,13.6,15.2,NA,0.3,21.8,0.8,0.1,1.3,NA,NA,NA,NA,5603,Australia 2005-2006 HILDA,National survey,,Figures by method do not add up to the total.,NA,NA,Including other unspecifed methods.,NA,NA,NA,NA
Australia,36,2008,2009,18-45,MW,Oceania,Australia and New Zealand,NA,62,59.2,2.8,0,NA,5,2.5,0.5,2.4,NA,12.6,13.9,NA,0.5,21.5,0.8,0.2,2,NA,NA,NA,NA,6026,Australia 2008-2009 HILDA,National survey,,Figures by method do not add up to the total.,NA,NA,Including other unspecifed methods.,NA,NA,NA,NA
Australia,36,2011,2012,18-45,MW,Oceania,Australia and New Zealand,NA,67.8,65.1,2.6,0,NA,4,3.9,1.2,4.5,NA,13.8,12.8,NA,0.9,23.5,1,0.5,1.6,NA,NA,NA,NA,6002,Australia 2011-2012 HILDA,National survey,,Figures by method do not add up to the total.,NA,NA,Including other unspecifed methods.,NA,NA,NA,NA
Australia,36,2015,2016,18-45,MW,Oceania,Australia and New Zealand,NA,66.9,64.6,2.3,0,NA,5.1,4.3,0.7,5.9,NA,17,14,NA,0.6,16.7,0.8,0.4,1.5,NA,NA,NA,NA,7344,Australia 2015-2016 HILDA,National survey,,Figures by method do not add up to the total.,NA,NA,Including other unspecifed methods.,NA,NA,NA,NA
Austria,40,1995,1996,20-49,MW,Europe,Western Europe,NA,50.9,46.8,4.1,NA,NA,NA,NA,0.3,7.3,NA,7.2,0.5,0,0.9,30.8,2.5,0.7,0.7,NA,NA,NA,NA,2848,Austria 1995-1996 Fertility and Family Survey,FFS,,Adjusted.,NA,NA,NA,NA,NA,NA,NA
Austria,40,2008,2009,18-46,MW,Europe,Western Europe,NA,69.6,67.6,2,0.1,NA,6.3,0.8,1.9,15.4,NA,14,4.3,0.6,NA,24,0.5,0.3,1.5,NA,NA,NA,NA,5426,Austria 2008-2009 Generations and Gender Survey ,GGS,,Including some cases of sterilization for non-contraceptive reasons.,Data pertain to women with co-resident male partner.,NA,NA,NA,NA,NA,NA
Austria,40,2012,2013,18-49,MW,Europe,Western Europe,NA,65.7,63,2.6,0.1,NA,3,0.8,2.4,14.2,NA,18.7,2,2,0.9,18.6,1.9,0.2,0.7,NA,NA,NA,NA,6025,Austria 2012-2013 Generations and Gender Survey ,GGS,,NA,NA,Including contraceptive patch and ring.,NA,NA,NA,NA,NA
Azerbaijan,31,2e3,2e3,15-49,MW,Asia,Western Asia,NA,55.1,16.7,38.4,NA,NA,0.5,NA,0.4,9.3,0.9,2.1,0.1,NA,3.5,3.3,4.3,0.1,30.6,NA,NA,NA,NA,1912,Azerbaijan 2000 Multiple Indicator Cluster Survey,MICS,,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,31,2001,2001,15-44,MW,Asia,Western Asia,NA,55.4,11.9,43.5,0.1,NA,1.2,NA,NA,6.1,NA,3.2,NA,NA,NA,1,3,0.3,40.5,9.7,1.8,11.5,17.8,1670,Azerbaijan 2001 Reproductive Health Survey,RHS,,NA,NA,NA,NA,NA,NA,"Excluding women who are currently pregnant, currently seeking to become pregnant, subfecund, or who are not sexually active, including women practicing post-partum abstinence. ","Including fecund married women, currently sexually active, currently exposed to the risk of pregnancy, not wanting to become pregnant, and not using a method of contraception other than folk methods, douches, breastfeeding or lactational amenorrhea (LAM)."
Azerbaijan,31,2006,2006,15-49,MW,Asia,Western Asia,NA,51.1,14.3,36.8,NA,NA,0.4,NA,0,9.2,1.1,2.2,NA,NA,0.3,1.1,4,0.2,32.5,12.5,3,15.4,21.5,179,Azerbaijan 2006 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,44,1988,1988,15-44,MW,Americas,Latin America and the Caribbean,Caribbean,61.7,60.1,1.6,NA,NA,16.4,NA,4.8,3.7,NA,2.3,NA,NA,NA,31.5,NA,1.4,NA,NA,NA,NA,NA,2777,Bahamas 1988 IPPF-WHR Caribbean Contraceptive Prevalence Survey,CCPS,,NA,NA,NA,Including rhythm and withdrawal.,NA,NA,NA,NA
Bahrain,48,1989,1989,15-49,MW,Asia,Western Asia,NA,53.8,30.3,23.5,NA,NA,7.2,NA,NA,1.6,NA,8.2,NA,0.2,4.1,13.1,NA,NA,19.4,NA,NA,NA,NA,145,Bahrain 1989 Child Health Survey,GCHS,,NA,Data pertain to nationals of the country.,"Including male sterilization, injectables and vaginal barrier methods.",Including breastfeeding and rhythm.,NA,NA,NA,NA
Bahrain,48,1995,1995,15-49,MW,Asia,Western Asia,NA,61.8,30.6,31.2,NA,NA,6.2,NA,0,2.9,NA,9.6,0,1.1,1.7,10.9,3.2,0,26.3,NA,NA,NA,NA,181,Bahrain 1995 Family Health Survey,GFHS,,NA,Data pertain to nationals of the country.,Including male sterilization.,Including breastfeeding.,NA,NA,NA,NA
Bangladesh,50,1975,1976,10-49,MW,Asia,Southern Asia,NA,7.7,5,2.7,NA,NA,0.6,NA,NA,0.5,NA,0.7,0.5,NA,1.3,2.7,0.9,0,0.5,NA,NA,NA,NA,749,Bangladesh 1975-1976 World Fertility Survey,WFS,,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,1979,1980,10-49,MW,Asia,Southern Asia,NA,12.7,8.9,3.8,NA,NA,2.4,NA,0.2,0.2,NA,1.5,0.9,NA,1.4,3.6,2.2,0.1,0.2,NA,NA,NA,NA,822,Bangladesh 1979-1980 Contraceptive Prevalence Survey,CPS,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Bangladesh,50,1981,1981,10-49,MW,Asia,Southern Asia,NA,18.6,11,7.6,NA,NA,4,NA,0.4,0.4,NA,1.6,0.8,NA,1.9,3.5,3.9,0.3,1.8,NA,NA,NA,NA,653,Bangladesh 1981 Contraceptive Prevalence Survey,National survey,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Bangladesh,50,1983,1984,10-49,MW,Asia,Southern Asia,NA,19.1,13.7,5.4,NA,NA,6.2,NA,0.2,1,NA,1.5,1.2,NA,1.8,3.3,2.4,0.3,1.3,NA,NA,NA,NA,164,Bangladesh 1983-1984 Contraceptive Prevalence Survey,National survey,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Bangladesh,50,1985,1986,10-49,MW,Asia,Southern Asia,NA,25.3,18.4,6.9,NA,NA,7.9,NA,0.5,1.4,NA,1.8,1.5,NA,2.2,5.1,3.8,0.2,0.9,NA,NA,NA,NA,801,Bangladesh 1985-1986 Contraceptive Prevalence Survey,National survey,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Bangladesh,50,1988,1989,10-49,MW,Asia,Southern Asia,NA,30.8,23.2,7.6,NA,NA,8.5,NA,0.6,1.4,NA,1.8,1.2,NA,1.8,9.6,4,0.1,1.8,NA,NA,NA,NA,828,Bangladesh 1988-1989 Fertility Survey,National survey,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Bangladesh,50,1989,1989,10-49,MW,Asia,Southern Asia,NA,31.4,24.4,7.1,NA,NA,9,NA,1.1,1.7,NA,1.9,1.4,NA,2,9.1,3.9,0.2,1.2,NA,NA,NA,NA,161,Bangladesh 1989 Contraceptive Prevalence Survey,National survey,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Bangladesh,50,1991,1991,10-49,MW,Asia,Southern Asia,NA,39.9,31.2,8.7,NA,NA,9.1,NA,2.6,1.8,NA,2.5,1.2,NA,2,13.9,4.7,NA,2,NA,NA,NA,NA,2802,Bangladesh 1991 Contraceptive Prevalence Survey,National survey,,NA,NA,NA,Including abstinence.,NA,NA,NA,NA
Bangladesh,50,1993,1994,15-49,MW,Asia,Southern Asia,NA,44.9,36.6,8.3,NA,NA,8.2,NA,4.6,2.2,NA,3,1.1,NA,1.1,17.5,4.8,NA,2.4,10.9,10.7,21.6,55,1814,Bangladesh 1993-1994 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,1996,1997,15-49,MW,Asia,Southern Asia,NA,49.8,42.1,7.7,NA,NA,7.7,0.1,6.3,1.8,NA,3.9,1.1,NA,0.8,21.1,5.1,NA,1.9,10,9.7,19.7,60.6,1815,Bangladesh 1996-1997 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,1999,2e3,15-49,MW,Asia,Southern Asia,NA,54.3,44,10.3,NA,NA,6.8,0.5,7.3,1.3,NA,4.3,0.5,NA,0.9,23.3,5.4,NA,4,9.7,8.5,18.2,60.7,1816,Bangladesh 1999-2000 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,2004,2004,15-49,MW,Asia,Southern Asia,NA,58.5,47.6,10.8,NA,NA,5.3,0.8,9.8,0.6,NA,4.2,0.6,NA,0.7,26.4,6.6,NA,3.6,8.3,6.7,15,64.8,1813,Bangladesh 2004 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,2007,2007,15-49,MW,Asia,Southern Asia,NA,55.8,47.5,8.3,NA,NA,5,0.7,7,0.9,NA,4.5,0.7,NA,0.6,28.5,4.9,NA,2.9,10.1,6.7,16.8,65.4,1840,Bangladesh 2007 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,2011,2011,15-49,MW,Asia,Southern Asia,NA,61.2,52.1,9.2,NA,NA,5,1.1,11.2,0.7,NA,5.5,1.2,NA,0.4,27.2,6.9,NA,1.9,8.1,5.4,13.5,69.7,5048,Bangladesh 2011 Demographic and Health Survey,DHS,,Figures by method do not add up to the total.,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,2012,2013,15-49,MW,Asia,Southern Asia,NA,61.8,59.3,2.5,NA,0.2,4,0.9,14.7,0.6,0.1,4.2,0.6,NA,0.3,33.9,1.8,0,0.3,8.4,5.5,13.9,78.3,5595,Bangladesh 2012-2013 Multiple Indicator Cluster Survey,MICS,,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,50,2014,2014,15-49,MW,Asia,Southern Asia,NA,62.3,53.9,8.4,NA,NA,4.6,1.7,12.4,0.6,0,6.4,1.2,NA,0.3,27,6.2,NA,1.9,6.6,5.3,12,72.5,5787,Bangladesh 2014 Demographic and Health Survey,DHS,,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,52,1980,1981,15-49,MW,Americas,Latin America and the Caribbean,Caribbean,46.5,44.7,1.9,NA,NA,14.4,NA,2.2,4,NA,5.4,0.3,NA,NA,15.8,NA,2.6,NA,NA,NA,NA,NA,108,Barbados 1980-1981 Contraceptive Prevalence Survey,CPS,,NA,NA,NA,Including rhythm and withdrawal.,NA,NA,NA,NA
